tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
1/1/2020 12:55:09 AM,1/1/2020 12:59:11 AM,1,0.65,N,148,144,4.5,1.66
1/1/2020 12:48:19 AM,1/1/2020 1:01:58 AM,1,1.08,N,43,162,9,3.2
1/1/2020 12:35:41 AM,1/1/2020 12:46:53 AM,1,1.2,N,249,79,8.5,2.45
1/1/2020 12:16:32 AM,1/1/2020 12:28:26 AM,1,1.26,N,249,79,8.5,0
1/1/2020 12:41:11 AM,1/1/2020 12:48:14 AM,1,0.3,N,48,48,6,0
1/1/2020 12:34:05 AM,1/1/2020 12:51:26 AM,1,9,N,161,138,26,7.18
1/1/2020 12:59:37 AM,1/1/2020 1:05:42 AM,1,1.1,N,79,4,6,1.96
1/1/2020 12:44:55 AM,1/1/2020 12:51:10 AM,2,1.85,N,48,238,7.5,0
1/1/2020 1:53:34 AM,1/1/2020 1:54:17 AM,4,0,N,129,129,0,0
1/1/2020 1:35:35 AM,1/1/2020 1:44:55 AM,2,1.49,N,158,211,8,2.95
1/1/2020 1:30:10 AM,1/1/2020 1:37:37 AM,2,1.1,N,181,181,7,2.05
1/1/2020 1:42:54 AM,1/1/2020 1:56:40 AM,1,2.2,N,162,48,11,2.95
1/1/2020 1:33:10 AM,1/1/2020 2:06:57 AM,1,5.9,N,161,226,25,0
1/1/2020 2:05:37 AM,1/1/2020 2:19:43 AM,1,1.9,N,224,68,10.5,2
1/1/2020 12:22:33 AM,1/1/2020 12:28:55 AM,2,1.2,N,263,43,6.5,2
